2018-03-18 00:49:23,140 INFO     EPOCH 9 ..............................................
2018-03-18 00:49:23,141 INFO     Training loss = 0.02223, Training acc = 0.99354, Training precision =0.21041, Training recall = 0.98753, Training auc = 1.0
2018-03-18 00:49:23,141 INFO     Validation loss = 0.02415, Validation acc = 0.99325, Validation precision =0.19139, Validation recall = 0.90909, Validataion auc = 1.0
2018-03-18 00:49:29,415 INFO     EPOCH 19 ..............................................
2018-03-18 00:49:29,415 INFO     Training loss = 0.03176, Training acc = 0.99036, Training precision =0.15197, Training recall = 0.99252, Training auc = 1.0
2018-03-18 00:49:29,416 INFO     Validation loss = 0.03516, Validation acc = 0.98951, Validation precision =0.13115, Validation recall = 0.90909, Validataion auc = 1.0
2018-03-18 00:49:35,678 INFO     EPOCH 29 ..............................................
2018-03-18 00:49:35,678 INFO     Training loss = 0.0255, Training acc = 0.99127, Training precision =0.16577, Training recall = 0.99751, Training auc = 1.0
2018-03-18 00:49:35,678 INFO     Validation loss = 0.02891, Validation acc = 0.99029, Validation precision =0.13781, Validation recall = 0.88636, Validataion auc = 1.0
2018-03-18 00:49:41,992 INFO     EPOCH 39 ..............................................
2018-03-18 00:49:41,993 INFO     Training loss = 0.02069, Training acc = 0.99356, Training precision =0.2122, Training recall = 0.99751, Training auc = 1.0
2018-03-18 00:49:41,993 INFO     Validation loss = 0.02263, Validation acc = 0.99364, Validation precision =0.20101, Validation recall = 0.90909, Validataion auc = 1.0
2018-03-18 00:49:48,192 INFO     EPOCH 49 ..............................................
2018-03-18 00:49:48,193 INFO     Training loss = 0.01675, Training acc = 0.99499, Training precision =0.25677, Training recall = 0.99252, Training auc = 1.0
2018-03-18 00:49:48,193 INFO     Validation loss = 0.01782, Validation acc = 0.99505, Validation precision =0.2454, Validation recall = 0.90909, Validataion auc = 1.0
2018-03-18 00:49:54,324 INFO     EPOCH 59 ..............................................
2018-03-18 00:49:54,324 INFO     Training loss = 0.02863, Training acc = 0.99261, Training precision =0.18982, Training recall = 0.99501, Training auc = 1.0
2018-03-18 00:49:54,324 INFO     Validation loss = 0.02994, Validation acc = 0.99243, Validation precision =0.17105, Validation recall = 0.88636, Validataion auc = 1.0
2018-03-18 00:50:00,642 INFO     EPOCH 69 ..............................................
2018-03-18 00:50:00,642 INFO     Training loss = 0.03093, Training acc = 0.99166, Training precision =0.17155, Training recall = 0.99252, Training auc = 1.0
2018-03-18 00:50:00,643 INFO     Validation loss = 0.03326, Validation acc = 0.9913, Validation precision =0.15175, Validation recall = 0.88636, Validataion auc = 1.0
2018-03-18 00:50:06,864 INFO     EPOCH 79 ..............................................
2018-03-18 00:50:06,864 INFO     Training loss = 0.03732, Training acc = 0.98869, Training precision =0.13253, Training recall = 0.99252, Training auc = 1.0
2018-03-18 00:50:06,865 INFO     Validation loss = 0.03759, Validation acc = 0.98876, Validation precision =0.12346, Validation recall = 0.90909, Validataion auc = 1.0
2018-03-18 00:50:13,197 INFO     EPOCH 89 ..............................................
2018-03-18 00:50:13,197 INFO     Training loss = 0.02228, Training acc = 0.99302, Training precision =0.1988, Training recall = 0.99501, Training auc = 1.0
2018-03-18 00:50:13,197 INFO     Validation loss = 0.02278, Validation acc = 0.99309, Validation precision =0.18483, Validation recall = 0.88636, Validataion auc = 1.0
2018-03-18 00:50:19,336 INFO     EPOCH 99 ..............................................
2018-03-18 00:50:19,336 INFO     Training loss = 0.02345, Training acc = 0.99438, Training precision =0.2363, Training recall = 1.0, Training auc = 1.0
2018-03-18 00:50:19,336 INFO     Validation loss = 0.02561, Validation acc = 0.99407, Validation precision =0.20652, Validation recall = 0.86364, Validataion auc = 1.0
2018-03-18 00:50:25,541 INFO     EPOCH 109 ..............................................
2018-03-18 00:50:25,541 INFO     Training loss = 0.0193, Training acc = 0.99557, Training precision =0.28118, Training recall = 0.99501, Training auc = 1.0
2018-03-18 00:50:25,541 INFO     Validation loss = 0.02205, Validation acc = 0.99516, Validation precision =0.24684, Validation recall = 0.88636, Validataion auc = 1.0
2018-03-18 00:50:31,649 INFO     EPOCH 119 ..............................................
2018-03-18 00:50:31,650 INFO     Training loss = 0.021, Training acc = 0.99584, Training precision =0.29394, Training recall = 0.99252, Training auc = 1.0
2018-03-18 00:50:31,650 INFO     Validation loss = 0.02302, Validation acc = 0.99567, Validation precision =0.26897, Validation recall = 0.88636, Validataion auc = 1.0
2018-03-18 00:50:37,825 INFO     EPOCH 129 ..............................................
2018-03-18 00:50:37,825 INFO     Training loss = 0.02492, Training acc = 0.99173, Training precision =0.17339, Training recall = 0.99751, Training auc = 1.0
2018-03-18 00:50:37,825 INFO     Validation loss = 0.02659, Validation acc = 0.99196, Validation precision =0.16529, Validation recall = 0.90909, Validataion auc = 1.0
2018-03-18 00:50:44,104 INFO     EPOCH 139 ..............................................
2018-03-18 00:50:44,104 INFO     Training loss = 0.03239, Training acc = 0.9931, Training precision =0.1998, Training recall = 0.98753, Training auc = 1.0
2018-03-18 00:50:44,104 INFO     Validation loss = 0.03413, Validation acc = 0.99294, Validation precision =0.18721, Validation recall = 0.93182, Validataion auc = 1.0
2018-03-18 00:50:50,281 INFO     EPOCH 149 ..............................................
2018-03-18 00:50:50,281 INFO     Training loss = 0.02541, Training acc = 0.99326, Training precision =0.20441, Training recall = 0.99501, Training auc = 1.0
